Date,Current Temp,Description,High Temp,Low Temp,Humidity,Feels Like,Location,AQI
2025-02-07 18:59:55.836920,-4°,Легкий туман,4°,-8°,74%,-4°,"Алматы, Казахстан",217
2025-02-07 19:01:12.542337,-4°,Легкий туман,4°,-8°,74%,-4°,"Алматы, Казахстан",196
2025-02-08 05:11:54.931803,-7°,Легкий туман,2°,-6°,67%,-7°,"Алматы, Казахстан",174
2025-02-10 14:47:31.122216,-1°,Ясно,0°,-10°,56%,-1°,"Алматы, Казахстан",158
2025-02-10 18:58:03.171076,-7°,Ясно,-1°,-11°,73%,-12°,"Алматы, Казахстан",142
2025-02-10 19:00:10.808568,-7°,Ясно,-1°,-11°,73%,-12°,"Алматы, Казахстан",142
2025-02-24 19:13:49.297766,4°,Дым,13°,0°,61%,4°,"Алматы, Казахстан",164
2025-02-24 20:00:52.631511,4°,Дым,13°,1°,65%,2°,"Алматы, Казахстан",167
2025-02-27 08:00:08.610719,-5°,Легкий туман,0°,-6°,94%,-5°,"Алматы, Казахстан",91
2025-02-27 09:00:02.764423,-4°,Облачно,0°,-6°,86%,-4°,"Алматы, Казахстан",82
2025-02-27 10:00:07.166138,-3°,Легкий туман,-1°,-6°,87%,-6°,"Алматы, Казахстан",88
2025-02-27 11:00:10.525527,-3°,Облачно,-1°,-6°,81%,-6°,"Алматы, Казахстан",81
2025-02-27 12:00:04.189252,-3°,Облачно,-1°,-6°,83%,-3°,"Алматы, Казахстан",90
2025-02-27 13:00:08.279704,-2°,Значительная облачность,0°,-6°,77%,-2°,"Алматы, Казахстан",95
2025-02-27 14:00:02.876526,-1°,Облачно,0°,-6°,74%,-3°,"Алматы, Казахстан",96
2025-02-27 15:00:10.091563,-2°,Облачно,-1°,-6°,88%,-2°,"Алматы, Казахстан",101
2025-02-27 16:00:05.380848,-1°,Облачно,-1°,-6°,80%,-1°,"Алматы, Казахстан",106
2025-02-27 17:00:11.317773,-1°,Облачно,-1°,-5°,84%,-4°,"Алматы, Казахстан",115
2025-02-27 18:00:05.593318,-3°,Облачно,-1°,-5°,93%,-3°,"Алматы, Казахстан",128
2025-02-27 19:00:10.569342,-2°,Значительная облачность,-1°,-5°,88%,-2°,"Алматы, Казахстан",135
2025-02-27 20:00:06.824416,-3°,Легкий туман,-1°,-5°,90%,-7°,"Алматы, Казахстан",143
2025-02-27 21:00:11.406543,-3°,Облачно,-1°,-5°,87%,-7°,"Алматы, Казахстан",150
2025-02-27 22:00:06.788724,-3°,Легкий туман,-1°,-5°,89%,-6°,"Алматы, Казахстан",142
2025-02-27 23:00:11.293366,-3°,Легкий туман,-1°,-5°,92%,-3°,"Алматы, Казахстан",150
2025-02-28 00:00:05.923877,-4°,Облачно,-1°,-5°,87%,-4°,"Алматы, Казахстан",140
2025-02-28 01:00:10.938017,-4°,Легкий туман,-1°,-5°,92%,-4°,"Алматы, Казахстан",134
2025-02-28 02:00:05.675373,-4°,Легкий туман,-1°,-5°,86%,-4°,"Алматы, Казахстан",131
2025-02-28 03:00:10.402964,-4°,Облачно,-1°,-5°,87%,-4°,"Алматы, Казахстан",109
2025-02-28 04:00:04.566230,-4°,Легкий туман,1°,-5°,87%,-7°,"Алматы, Казахстан",113
2025-02-28 05:00:09.230998,-4°,Легкий туман,1°,-4°,86%,-4°,"Алматы, Казахстан",131
2025-02-28 06:00:03.733166,-4°,Облачно,1°,-5°,93%,-4°,"Алматы, Казахстан",129
2025-02-28 09:00:10.935622,-2°,Облачно,1°,-5°,87%,-2°,"Алматы, Казахстан",135
2025-02-28 15:00:06.490693,1°,Облачно,1°,-4°,82%,1°,"Алматы, Казахстан",156
2025-02-28 18:00:56.000309,-1°,Облачно,2°,-4°,87%,-1°,"Алматы, Казахстан",162
2025-02-28 19:00:56.016256,-1°,Облачно,2°,-4°,89%,-3°,"Алматы, Казахстан",161
2025-02-28 20:00:56.073128,-1°,Облачно,2°,-4°,90%,-4°,"Алматы, Казахстан",160
2025-02-28 21:00:55.963980,-2°,Небольшой снегопад,2°,-4°,92%,-2°,"Алматы, Казахстан",157
2025-02-28 22:00:56.138708,-2°,Снежно-ледяная изморось,2°,-4°,92%,-6°,"Алматы, Казахстан",155
2025-02-28 23:00:56.065104,-2°,Легкий снег,2°,-4°,93%,-6°,"Алматы, Казахстан",146
2025-03-01 00:00:56.707783,-2°,Небольшой снегопад,2°,-4°,95%,-2°,"Алматы, Казахстан",137
2025-03-01 01:00:38.980928,-2°,Легкий туман,2°,-4°,95%,-2°,"Алматы, Казахстан",129
2025-03-01 02:00:38.881145,-2°,Легкий туман,2°,-4°,95%,-7°,"Алматы, Казахстан",113
2025-03-01 03:00:39.839840,-2°,Туман,2°,-5°,94%,-2°,"Алматы, Казахстан",110
2025-03-01 09:00:38.253489,-1°,Туман,2°,-5°,91%,-1°,"Алматы, Казахстан",139
2025-03-01 10:00:38.272025,-1°,Легкий туман,2°,-5°,87%,-1°,"Алматы, Казахстан",145
2025-03-01 11:00:39.210113,0°,Легкий туман,2°,-5°,83%,-3°,"Алматы, Казахстан",151
2025-03-01 12:00:38.926170,1°,Облачно,2°,-5°,85%,1°,"Алматы, Казахстан",147
2025-03-01 13:00:39.535289,1°,Легкий туман,2°,-5°,78%,-2°,"Алматы, Казахстан",151
2025-03-01 14:00:38.950517,2°,Легкий туман,2°,-5°,74%,2°,"Алматы, Казахстан",156
2025-03-01 15:00:38.902953,3°,Переменная облачность,3°,-5°,74%,3°,"Алматы, Казахстан",157
2025-03-01 16:00:38.308808,2°,Легкий туман,3°,-5°,76%,-1°,"Алматы, Казахстан",157
2025-03-01 17:00:38.292406,1°,Легкий туман,3°,-5°,79%,-3°,"Алматы, Казахстан",157
2025-03-01 18:00:38.219401,1°,Ясно,3°,-5°,80%,-2°,"Алматы, Казахстан",157
2025-03-01 19:00:38.274498,-1°,Легкий туман,3°,-5°,87%,-4°,"Алматы, Казахстан",157
2025-03-01 20:00:39.027853,-2°,Легкий туман,3°,-5°,89%,-2°,"Алматы, Казахстан",158
2025-03-01 21:00:38.910424,-1°,Ясно,3°,-5°,86%,-1°,"Алматы, Казахстан",161
2025-03-01 22:00:39.105392,-3°,Туман,3°,-5°,89%,-7°,"Алматы, Казахстан",165
2025-03-01 23:00:38.311303,-4°,Туман,3°,-5°,89%,-4°,"Алматы, Казахстан",167
2025-03-02 00:00:38.280321,-2°,Ясно,3°,-4°,87%,-2°,"Алматы, Казахстан",167
2025-03-02 01:00:38.281746,-4°,Туман,3°,-5°,87%,-4°,"Алматы, Казахстан",167
2025-03-02 02:00:38.985583,-4°,Туман,3°,-5°,86%,-4°,"Алматы, Казахстан",165
2025-03-02 03:00:38.260810,-2°,Ясно,3°,-4°,82%,-2°,"Алматы, Казахстан",164
2025-03-02 04:00:39.357465,-4°,Туман,4°,-3°,83%,-4°,"Алматы, Казахстан",153
2025-03-02 05:00:38.323363,-3°,Легкий туман,4°,-3°,83%,-3°,"Алматы, Казахстан",151
2025-03-02 06:00:38.339811,-1°,Ясно,4°,-3°,81%,-1°,"Алматы, Казахстан",159
2025-03-02 07:00:39.137047,-3°,Легкий туман,4°,-3°,83%,-6°,"Алматы, Казахстан",158
2025-03-02 08:00:39.267268,-2°,Туман,4°,-3°,81%,-5°,"Алматы, Казахстан",158
2025-03-02 09:00:38.309373,-1°,Облачно,4°,-3°,81%,-1°,"Алматы, Казахстан",164
2025-03-02 10:00:38.223020,0°,Легкий туман,4°,-3°,78%,-3°,"Алматы, Казахстан",159
2025-03-02 11:00:38.740126,1°,Легкий туман,4°,-3°,75%,-2°,"Алматы, Казахстан",165
2025-03-02 12:00:38.311336,2°,Ясно,4°,-3°,74%,2°,"Алматы, Казахстан",164
2025-03-02 13:00:38.722648,3°,Легкий туман,4°,-3°,68%,1°,"Алматы, Казахстан",158
2025-03-02 15:00:38.268405,5°,Переменная облачность,6°,-3°,62%,5°,"Алматы, Казахстан",162
